softmax_size = 2
disk_reader_process_num: 1
disk_reader_process_num: 1
C:\Users\artem\AppData\Local\Programs\Python\Python310\lib\site-packages\torch\nn\modules\loss.py:536: UserWarning: Using a target size (torch.Size([4, 2])) that is different to the input size (torch.Size([4, 256, 1, 1, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
2023-12-12 11:55:32,329:CRITICAL:EmoV2_step40: iteration: 0: Loss: 0.083979, lr: 0.000900
2023-12-12 11:55:46,474:CRITICAL:EmoV2_step40: iteration: 100: Loss: 0.135395, lr: 0.000900
2023-12-12 11:56:02,771:CRITICAL:EmoV2_step40: iteration: 200: Loss: 0.358269, lr: 0.000900
2023-12-12 11:56:15,432:CRITICAL:EmoV2_step40: iteration: 300: Loss: 0.231461, lr: 0.000900
2023-12-12 11:56:28,072:CRITICAL:EmoV2_step40: iteration: 400: Loss: 0.128473, lr: 0.000900
2023-12-12 11:56:40,593:CRITICAL:EmoV2_step40: iteration: 500: Loss: 0.121288, lr: 0.000900
2023-12-12 11:56:53,274:CRITICAL:EmoV2_step40: iteration: 600: Loss: 0.172383, lr: 0.000900
2023-12-12 11:57:05,689:CRITICAL:EmoV2_step40: iteration: 700: Loss: 0.241687, lr: 0.000900
2023-12-12 11:57:18,085:CRITICAL:EmoV2_step40: iteration: 800: Loss: 0.101216, lr: 0.000899
2023-12-12 11:57:30,667:CRITICAL:EmoV2_step40: iteration: 900: Loss: 0.242505, lr: 0.000899
2023-12-12 11:57:43,215:CRITICAL:EmoV2_step40: iteration: 1000: Loss: 0.183244, lr: 0.000899
2023-12-12 11:57:55,694:CRITICAL:EmoV2_step40: iteration: 1100: Loss: 0.055689, lr: 0.000899
2023-12-12 11:58:08,365:CRITICAL:EmoV2_step40: iteration: 1200: Loss: 0.178868, lr: 0.000899
2023-12-12 11:58:21,269:CRITICAL:EmoV2_step40: iteration: 1300: Loss: 0.163332, lr: 0.000899
2023-12-12 11:58:33,703:CRITICAL:EmoV2_step40: iteration: 1400: Loss: 0.142050, lr: 0.000898
2023-12-12 11:58:46,197:CRITICAL:EmoV2_step40: iteration: 1500: Loss: 0.149372, lr: 0.000898
2023-12-12 11:58:58,501:CRITICAL:EmoV2_step40: iteration: 1600: Loss: 0.154593, lr: 0.000898
2023-12-12 11:59:11,002:CRITICAL:EmoV2_step40: iteration: 1700: Loss: 0.145171, lr: 0.000897
2023-12-12 11:59:23,298:CRITICAL:EmoV2_step40: iteration: 1800: Loss: 0.125537, lr: 0.000897
2023-12-12 11:59:35,552:CRITICAL:EmoV2_step40: iteration: 1900: Loss: 0.189395, lr: 0.000897
2023-12-12 11:59:47,969:CRITICAL:EmoV2_step40: iteration: 2000: Loss: 0.098276, lr: 0.000896
2023-12-12 12:00:00,290:CRITICAL:EmoV2_step40: iteration: 2100: Loss: 0.220955, lr: 0.000896
2023-12-12 12:00:12,621:CRITICAL:EmoV2_step40: iteration: 2200: Loss: 0.310374, lr: 0.000896
2023-12-12 12:00:24,989:CRITICAL:EmoV2_step40: iteration: 2300: Loss: 0.206229, lr: 0.000895
2023-12-12 12:00:37,908:CRITICAL:EmoV2_step40: iteration: 2400: Loss: 0.053865, lr: 0.000895
2023-12-12 12:00:50,391:CRITICAL:EmoV2_step40: iteration: 2500: Loss: 0.232054, lr: 0.000895
